Category,Initial 500 kWh,Additional consumption > 500 kWh
Service charge,$14.60,--
Charge per kWh (summer),$0.0794,$0.0759
Charge per kWh (winter),$0.0759,$0.0748
Source,2022 MLGW Annual Report,
